Entity,Hospital beds per 1000 people,Population aged 65 and over (%),Latitude,Continent,Population,Median age,GDP/Capita,Medical doctors per 1000 people,Average temperature per year,Longitude,Days,Tests/Million,Cases/Million,Deaths/Million,Positivity rate (%),Mortality rate (%)
Albania,2.89,14,41.15,Europe,2873457,38,5353.2,1.29,14,20.17,370,150688.87,37295.49,625.03,24.75,1.68
Algeria,1.9,6,28.03,Africa,41318142,29,3974.0,1.83,25,1.66,370,75.03,2737.1,72.2,3648.13,2.64
Argentina,5.0,11,-38.42,South America,44271041,31,9912.3,3.91,14,-63.62,404,137668.66,47601.43,1173.79,34.58,2.47
Armenia,4.2,11,40.07,Europe,2930450,35,4622.7,2.8,11,45.04,365,34007.75,58713.85,1089.25,172.65,1.86
Australia,3.84,16,-25.27,Oceania,24598933,37,55060.3,3.5,22,133.78,400,379550.65,1178.02,36.95,0.31,3.14
Austria,7.37,19,47.52,Europe,8809212,44,50137.7,5.23,8,14.55,370,1619853.74,52154.49,971.82,3.22,1.86
Bahrain,2.0,2,25.93,Asia,1492584,32,23504.0,0.92,27,50.64,371,1723710.69,82001.41,300.82,4.76,0.37
Bangladesh,0.8,5,23.68,Asia,164669751,27,1855.7,0.47,25,90.36,362,24292.91,3317.04,51.06,13.65,1.54
Belarus,11.0,15,53.71,Europe,9507875,40,6663.3,4.07,8,27.95,367,49872.45,30217.69,207.83,60.59,0.69
Belgium,5.64,19,50.5,Europe,11372068,41,46420.7,3.01,10,4.47,391,821526.92,67842.63,1941.34,8.26,2.86
Bhutan,1.7,6,27.51,Asia,807610,28,3316.2,0.38,13,90.43,360,629025.15,1073.54,1.24,0.17,0.12
Bolivia,1.1,7,-16.29,South America,11051600,25,3552.1,0.47,20,-63.59,355,61786.62,22531.58,1054.06,36.47,4.68
Bosnia and Herzegovina,3.5,16,43.92,Europe,3507017,42,6108.5,1.89,12,17.68,361,126797.79,37347.69,1445.96,29.45,3.87
Bulgaria,7.45,21,42.73,Europe,7075991,44,9828.1,4.0,13,25.49,358,200988.67,34912.14,1440.22,17.37,4.13
Canada,2.5,17,56.13,North America,36708083,41,46194.7,2.54,-1,-106.35,400,473655.82,23746.65,599.05,5.01,2.52
Cape Verde,2.1,5,16.0,Africa,546388,25,3603.8,0.79,24,-24.01,346,179991.14,28185.1,269.04,15.66,0.95
Chile,2.11,12,-35.68,South America,18054726,35,14896.5,1.03,9,-71.54,372,505960.05,45673.64,1139.42,9.03,2.49
Colombia,1.71,8,4.57,South America,49065615,32,6428.7,1.82,25,-74.3,360,222947.09,45891.4,1218.08,20.58,2.65
Costa Rica,1.13,10,9.75,North America,4905769,33,12243.8,1.15,26,-83.75,360,114488.27,41653.2,570.76,36.38,1.37
Croatia,5.54,20,45.1,Europe,4125700,44,14936.1,3.13,13,15.2,370,299674.24,58892.55,1339.41,19.65,2.27
Cuba,5.2,15,21.52,North America,11484636,43,8821.8,7.52,26,-77.78,354,203492.82,4334.4,28.04,2.13,0.65
Cyprus,3.4,14,35.13,Europe,1179551,37,27858.4,2.5,20,33.43,357,1834856.65,29423.91,195.84,1.6,0.67
Denmark,2.5,20,56.26,Europe,5769603,42,60170.3,3.66,8,9.5,377,2828744.02,36724.02,409.39,1.3,1.11
Dominican Republic,1.6,7,18.74,North America,10766998,27,8282.1,1.49,26,-70.16,365,58915.4,22254.76,287.92,37.77,1.29
Ecuador,1.5,7,-1.83,South America,16624858,28,6183.8,1.66,22,-78.18,365,54873.37,17212.48,951.05,31.37,5.53
El Salvador,1.3,8,13.79,North America,6377853,27,4187.3,1.6,25,-88.9,347,77917.44,9386.54,290.69,12.05,3.1
Estonia,4.69,20,58.6,Europe,1315480,42,23723.3,3.43,6,25.01,368,698613.43,49867.73,447.75,7.14,0.9
Ethiopia,0.3,4,9.14,Africa,104957438,19,855.8,0.02,24,40.49,353,20139.67,1515.59,22.53,7.53,1.49
Fiji,2.3,5,-16.58,Oceania,905502,28,6175.9,0.84,25,179.41,353,26502.43,65.16,2.21,0.25,3.39
Finland,3.28,22,61.92,Europe,5511303,42,48782.8,3.2,4,25.75,397,593409.04,10464.31,134.63,1.76,1.29
France,5.98,20,46.23,Europe,67118648,42,40493.9,3.24,13,2.21,402,767606.78,55830.43,1277.45,7.27,2.29
Ghana,0.9,3,7.95,Africa,28833629,21,2202.1,0.1,27,-1.02,352,24837.98,2914.06,21.05,11.73,0.72
Greece,4.21,22,39.07,Europe,10760421,45,19582.5,6.26,17,21.82,369,433448.28,17759.53,604.44,4.1,3.4
Guatemala,0.6,5,15.78,North America,16913503,22,4620.0,0.9,24,-90.23,364,51481.77,10319.68,377.98,20.05,3.66
Hungary,7.02,19,47.16,Europe,9781127,43,16731.8,3.09,12,19.5,362,322464.07,43818.98,1530.91,13.59,3.49
Iceland,2.91,15,64.96,Europe,341284,37,66944.8,3.79,2,-19.02,368,811714.0,17724.24,84.97,2.18,0.48
India,0.53,6,20.59,Asia,1339180127,28,2099.6,0.76,25,78.96,396,152812.96,8297.79,117.35,5.43,1.41
Indonesia,1.04,6,-0.79,Asia,263991379,29,4135.6,0.2,26,113.92,364,21548.44,5055.6,137.0,23.46,2.71
Iran,1.5,6,32.43,Asia,81162788,32,5550.1,1.49,20,53.69,376,62812.81,20097.5,740.15,32.0,3.68
Iraq,1.4,3,33.22,Asia,38274618,20,5955.1,0.85,24,43.68,371,133541.61,18171.02,350.26,13.61,1.93
Ireland,2.96,14,53.41,Europe,4813608,38,78661.0,2.96,9,-8.24,366,722885.41,45619.0,897.25,6.31,1.97
Israel,2.99,12,31.05,Asia,8712400,30,43592.1,3.58,21,34.85,375,1475263.99,89046.3,660.21,6.04,0.74
Italy,3.18,23,41.87,Europe,60551416,47,33228.2,4.02,14,12.57,395,647765.0,48310.43,1613.49,7.46,3.34
Jamaica,1.7,9,18.11,North America,2890299,31,5582.3,0.47,27,-77.3,355,45018.53,8048.65,146.01,17.88,1.81
Japan,13.05,28,36.2,Asia,126785797,48,40246.9,2.37,12,138.25,404,60162.01,3408.03,62.22,5.66,1.83
Jordan,1.4,4,30.59,Asia,9702353,23,4405.5,3.43,21,36.24,363,273092.93,40308.78,484.52,14.76,1.2
Kazakhstan,6.7,7,48.02,Asia,18037646,30,9812.4,3.27,8,66.92,353,408496.32,14564.82,175.3,3.57,1.2
Kenya,1.4,2,-0.02,Africa,49699862,20,1816.5,0.2,24,37.91,353,11508.08,2132.26,37.34,18.53,1.75
Kuwait,2.0,3,29.31,Asia,4136528,33,32000.4,2.61,27,47.48,371,371697.23,46138.21,261.81,12.41,0.57
Latvia,5.57,20,56.88,Europe,1940740,43,17828.9,3.21,7,24.6,366,737338.85,44408.83,833.7,6.02,1.88
Libya,3.7,4,26.34,Africa,6374616,29,7685.9,2.09,24,17.23,351,92596.79,20917.02,341.82,22.59,1.63
Lithuania,6.56,20,55.17,Europe,2827721,43,19601.9,4.38,7,23.88,366,739201.64,70425.97,1147.21,9.53,1.63
Luxembourg,4.51,14,49.82,Europe,599449,39,114704.6,2.92,9,6.13,370,3488960.7,91934.43,1062.64,2.64,1.16
Madagascar,0.2,3,-18.77,Africa,25570895,19,523.4,0.14,22,46.87,346,1131.52,775.53,11.61,68.54,1.5
Malawi,1.3,3,-13.25,Africa,18622104,18,411.6,0.02,21,34.3,334,3061.09,1715.43,56.06,56.04,3.27
Malaysia,1.9,7,4.21,Asia,31624264,29,11414.2,1.53,26,101.98,401,187564.87,9510.17,35.73,5.07,0.38
Malta,4.49,20,35.94,Europe,465292,42,29820.6,3.91,19,14.38,370,1478486.63,48318.05,676.99,3.27,1.4
Mauritania,0.4,3,21.01,Africa,4420184,20,1679.4,0.07,29,-10.94,352,5300.46,3892.82,99.77,73.44,2.56
Mexico,1.38,7,23.63,North America,129163276,29,9946.0,2.23,22,-102.55,425,38302.75,16157.36,1437.83,42.18,8.9
Mongolia,7.0,4,46.86,Asia,3075647,28,4339.8,3.26,2,103.85,356,523325.01,959.8,0.65,0.18,0.07
Morocco,1.1,7,31.79,Africa,35739580,29,3204.1,0.62,19,-7.09,369,141029.61,13532.73,241.27,9.6,1.78
Mozambique,0.7,3,-18.67,Africa,29668834,17,503.6,0.06,23,35.53,344,13721.94,2000.42,21.61,14.58,1.08
Myanmar,0.9,6,21.91,Asia,53370609,29,1407.8,0.57,25,95.96,339,45114.59,2658.69,59.94,5.89,2.25
Namibia,2.7,4,-22.96,Africa,2533794,22,4957.5,0.37,21,18.49,352,113103.12,15330.76,167.34,13.55,1.09
Nepal,0.3,6,28.39,Asia,29304998,25,1071.1,0.6,15,84.12,401,72283.64,9354.82,94.66,12.94,1.01
New Zealand,2.61,16,-40.9,Oceania,4793900,37,42084.4,3.06,11,174.89,367,306523.71,496.05,5.42,0.16,1.09
Nigeria,0.5,3,9.08,Africa,190886311,18,2229.9,0.4,28,8.68,367,3677.87,815.44,9.99,22.17,1.23
Norway,3.6,17,60.47,Europe,5282223,39,75419.6,4.38,1,8.47,371,719518.47,13442.45,117.75,1.87,0.88
Oman,1.6,2,21.51,Asia,4636262,30,15343.1,1.92,28,55.92,371,43276.24,30519.41,338.63,70.52,1.11
Pakistan,0.6,4,30.38,Asia,197015955,23,1284.7,0.98,22,69.35,370,42965.46,2950.85,65.46,6.87,2.22
Panama,2.3,8,8.54,North America,4098587,29,15731.0,1.59,27,-80.78,356,459031.12,83178.67,1426.1,18.12,1.71
Paraguay,1.3,6,-23.44,South America,6811297,26,5414.8,1.29,22,-58.44,359,108743.31,23413.16,467.02,21.53,1.99
Peru,1.6,8,-9.19,South America,32165485,29,6977.7,1.12,19,-75.02,360,81787.01,41157.87,1439.4,50.32,3.5
Philippines,1.0,5,12.88,Asia,104918090,25,3485.1,1.11,27,121.77,396,77794.77,5493.35,117.41,7.06,2.14
Poland,6.62,18,51.92,Europe,37975841,41,15692.5,2.29,9,19.15,362,239872.19,44949.26,1152.55,18.74,2.56
Portugal,3.39,22,39.4,Europe,10293718,46,23252.1,4.43,15,-8.22,364,790692.44,78160.49,1585.14,9.89,2.03
Qatar,1.2,1,25.35,Asia,2639211,31,62088.1,1.96,28,51.18,366,556503.06,62012.47,97.76,11.14,0.16
Romania,6.89,18,45.94,Europe,19586539,43,12919.5,2.67,11,24.97,369,241601.03,40946.18,1038.98,16.95,2.54
Russia,8.05,15,61.52,Asia,144495044,39,11585.0,3.98,-2,105.32,395,714012.61,29055.67,586.18,4.07,2.02
Rwanda,1.6,3,-1.94,Africa,12208407,20,820.0,0.06,20,29.87,352,64777.57,1544.02,21.38,2.38,1.38
Saudi Arabia,2.7,3,23.89,Asia,32938213,31,23139.8,2.57,27,45.08,364,411511.06,11457.3,197.16,2.78,1.72
Senegal,0.3,3,14.5,Africa,15850567,18,1446.8,0.07,29,-14.45,365,24704.29,2177.84,55.01,8.82,2.53
Serbia,5.61,18,44.02,Europe,7022268,41,7411.8,2.46,12,21.01,367,411311.99,65400.38,632.7,15.9,0.97
Slovakia,5.82,16,48.67,Europe,5439892,41,19266.3,3.45,9,19.7,360,2624429.68,56634.03,1321.53,2.16,2.33
Slovenia,4.5,20,46.15,Europe,2066748,44,25946.2,2.82,11,15.0,375,818654.72,91971.06,1856.06,11.23,2.02
South Africa,2.32,5,-30.56,Africa,56717156,27,6001.4,0.82,17,22.94,364,156399.34,26683.16,881.44,17.06,3.3
South Korea,12.27,14,35.91,Asia,51466201,43,31846.2,2.33,13,127.77,404,114399.72,1749.32,31.19,1.53,1.78
Sri Lanka,3.6,10,7.87,Asia,21444000,34,3853.1,0.88,28,80.77,399,96990.86,3874.93,21.64,4.0,0.56
Sweden,2.22,20,60.13,Europe,10067744,41,51615.0,4.19,4,18.64,394,552907.68,65288.61,1273.97,11.81,1.95
Switzerland,4.53,19,46.82,Europe,8466017,43,81993.7,4.25,8,8.23,400,508567.61,65548.18,1177.18,12.89,1.8
Thailand,2.1,12,15.87,Asia,69037513,40,7806.7,0.47,27,100.99,421,38842.14,377.06,1.2,0.97,0.32
Togo,0.7,3,8.62,Africa,7797694,19,679.3,0.05,27,0.82,362,29981.43,885.01,10.77,2.95,1.22
Trinidad and Tobago,3.0,11,10.69,North America,1369125,36,17398.0,1.82,27,-61.22,352,67329.86,5633.53,101.52,8.37,1.8
Tunisia,2.3,8,33.89,Africa,11532127,32,3317.5,1.29,21,9.54,362,16622.69,20228.45,693.8,121.69,3.43
Turkey,2.81,8,38.96,Asia,80745020,31,9126.6,1.75,14,35.24,355,405857.65,33458.26,353.82,8.24,1.06
Uganda,0.5,2,1.37,Africa,42862958,16,794.3,0.09,24,32.29,345,12707.2,941.54,7.79,7.41,0.83
Ukraine,8.8,16,48.38,Europe,44831159,41,3659.0,3.0,10,31.17,363,106099.38,31128.53,611.27,29.34,1.96
United Arab Emirates,1.2,1,23.42,Asia,9400145,34,43103.3,1.56,29,53.85,397,3218473.01,41650.85,129.89,1.29,0.31
United Kingdom,2.54,18,55.38,Europe,66022273,40,42330.1,2.82,8,-3.44,395,1262422.86,63445.66,1864.26,5.03,2.94
United States,2.77,16,37.09,North America,325719178,38,65297.5,2.57,11,-95.71,404,1008245.99,87823.1,1575.26,8.71,1.79
Uruguay,2.8,15,-32.52,South America,3456750,35,16190.1,3.74,16,-55.77,353,232735.37,16777.03,175.89,7.21,1.05
Vietnam,2.6,7,14.06,Asia,95540800,32,2715.3,0.82,25,108.28,403,3492.65,25.62,0.37,0.73,1.43
Zambia,2.0,2,-13.13,Africa,17094130,17,1305.1,0.09,21,27.85,348,61091.44,4594.21,63.82,7.52,1.39
Zimbabwe,1.7,3,-19.02,Africa,16529904,19,1464.0,0.08,20,29.15,346,22240.36,2183.26,88.51,9.82,4.05
